,ds,yhat,yhat_lower,yhat_upper
0,2022-01-02,78.83879999999999,68.05602593900005,89.47788675379527
1,2022-01-09,78.76257352272728,68.26885363075002,88.86602462459628
2,2022-01-16,78.68634704545454,68.01411649054012,89.18587937054143
3,2022-01-23,78.61012056818181,67.62636231342098,89.59271227831054
4,2022-01-30,78.53389409078866,68.27167765244893,88.56180537542542
5,2022-02-06,78.45766761339551,69.02365587531936,89.09588987897602
6,2022-02-13,78.38144113600237,68.3382706858981,88.52456146000085
7,2022-02-20,78.30521465858497,67.5338267569344,88.03137108069389
8,2022-02-27,78.22898818116761,68.53413232592855,89.01285871633858
9,2022-03-06,78.15276170343543,67.36278334432292,88.1652308791396
10,2022-03-13,78.07653522570327,68.38230756719335,88.54556884180545
11,2022-03-20,78.0003087479711,66.8955440901361,88.0449110773424
12,2022-03-27,77.92408227001677,67.77268328344597,88.39140106036491
13,2022-04-03,77.84785579206243,67.66329372346173,88.04599539696488
14,2022-04-10,77.77162931410808,67.58007308868181,88.44725845285164
15,2022-04-17,77.69540283661966,67.17660837301113,87.85157748972516
16,2022-04-24,77.61917635913125,67.57639500030412,87.45255216536363
17,2022-05-01,77.54294988164283,66.56420055612766,87.32337692768895
18,2022-05-08,77.466723404171,66.77102710802811,87.61979039203685
19,2022-05-15,77.39049692669919,66.2050551370611,87.20549012876936
20,2022-05-22,77.31427044922737,66.75272512607164,87.29083764733186
21,2022-05-29,77.23804397210907,66.93763411210256,87.07279675448392
22,2022-06-05,77.16181749499077,66.79498691532356,87.1181365273933
23,2022-06-12,77.0855910182875,66.55922096749589,86.43900554874472
24,2022-06-19,77.00936454158423,67.13584746417423,87.3393410967232
25,2022-06-26,76.93313806488096,66.24677836975688,88.02369025127699
26,2022-07-03,76.85691158863702,67.45264343648348,86.92110213892383
27,2022-07-10,76.78068511239304,66.1795637715838,87.18731289515148
28,2022-07-17,76.70445863614907,66.12321359247784,86.85353163334574
29,2022-07-24,76.62823216034721,66.29955805003972,86.90143006023938
30,2022-07-31,76.55200568454535,66.66375526881987,87.07939845659989
31,2022-08-07,76.47577920874349,66.26420784119482,86.32610353063374
32,2022-08-14,76.39955273281804,66.10957048291598,85.66393552365582
33,2022-08-21,76.32332625689259,66.24762402606974,86.63413256865269
34,2022-08-28,76.24709978096715,65.64909028765518,86.52805408298994
35,2022-09-04,76.17087292643943,65.74376422589464,86.40334598332035
36,2022-09-11,76.0946460719117,66.341718751414,87.04998008217453
37,2022-09-18,76.01840162317943,65.81054546634188,86.86986148516301
38,2022-09-25,75.94215717444716,65.98606283755574,85.96546204636118
39,2022-10-02,75.86591272571489,65.13780122983256,86.6136834585808
40,2022-10-09,75.7891261997099,65.3222921229647,86.7595872282393
41,2022-10-16,75.7123396737049,65.58585922580744,86.30530567171144
42,2022-10-23,75.63555314769991,65.77404345823886,86.130017986085
43,2022-10-30,75.288913212604,65.38449296190325,85.09521913702274
44,2022-11-06,74.9422732775081,65.55820694417231,84.96679454612462
45,2022-11-13,74.5956333424122,64.37553730655239,84.37315328120488
46,2022-11-20,74.24736990731628,63.67369767900657,84.42208331926027
47,2022-11-27,73.89910647222038,63.74822529677394,84.6834500287324
48,2022-12-04,73.55084303712448,63.047166076342045,83.31123687093107
49,2022-12-11,73.20199787702857,62.87194580907747,83.75084766590406
50,2022-12-18,72.85315271693267,63.0263893761922,83.2020108659213
51,2022-12-25,72.50429036842768,62.38907488874697,82.47664848899967
52,2023-01-01,72.15542801992268,61.882565614335554,83.07721892602744
53,2023-01-08,71.80656567141769,61.55227791175327,82.25917382222062
54,2023-01-15,71.45722781382177,61.485391818266194,81.87358697454229
55,2023-01-22,71.10788995622588,61.64926957175732,81.36135822184238
56,2023-01-29,70.75855209862998,60.956271424055075,81.08337606854295
57,2023-02-05,70.40912843478408,60.16740021657248,80.46918984749976
58,2023-02-12,70.05970477093817,59.75249828126598,80.26574695191627
59,2023-02-19,69.71028110709227,59.227615942494566,80.49754855163536
60,2023-02-26,69.36042057392818,58.26279141118482,79.45559931708544
61,2023-03-05,69.01056004076409,58.90645444205159,79.81276871418025
62,2023-03-12,68.66069950760001,59.241152938376466,78.6668018843583
63,2023-03-19,68.31083893078694,58.04688506786074,78.83424189324604
64,2023-03-26,67.96097835397387,57.49474345417009,78.64384172827717
65,2023-04-02,67.61101478500173,57.43313244251918,77.25348563325302
66,2023-04-09,67.26105121602957,56.83667383907177,77.41501693243164
67,2023-04-16,66.91108764705743,57.01890872208601,76.87719797391236
68,2023-04-23,66.56112407244954,55.58061405894298,76.60781815998733
69,2023-04-30,66.21116049784166,55.51747962955973,76.47401477980078
70,2023-05-07,65.86119692323378,55.36151791764547,75.54464906115987
71,2023-05-14,65.51123334807332,54.922908456322396,76.46046279500497
72,2023-05-21,65.16126977291283,55.22108886245912,75.38341990694953
73,2023-05-28,64.81130619775237,54.27338337235198,74.68949361848708
74,2023-06-04,64.46134262259189,54.44480575022338,74.98594831066022
75,2023-06-11,64.11137904743143,53.73899292523852,73.9274182149299
76,2023-06-18,63.761415472270954,53.80252960509372,73.56645986184928
77,2023-06-25,63.41145189711048,53.07335999285344,72.6852033502347
78,2023-07-02,63.06148832195002,53.33105085934919,73.80619069281958
79,2023-07-09,62.711524746789536,53.356350386083705,72.5970992810532
80,2023-07-16,62.36156117162908,52.603938598578125,72.98889776814846
81,2023-07-23,62.011597596468604,51.54213285582905,72.66207702776605
82,2023-07-30,61.66163402130813,50.57499314365629,71.84207815790312
83,2023-08-06,61.31167044614766,50.803521996556064,72.11355869227711
84,2023-08-13,60.961706870987186,50.9912409734408,71.83512455725632
85,2023-08-20,60.61174329582671,50.865230226052965,71.33442562590584
86,2023-08-27,60.26177972066624,50.74248939621043,70.07495382495682
87,2023-09-03,59.91181614550578,48.841965878027125,69.41596989704274
88,2023-09-10,59.561852570345295,48.61464727686732,69.83616412701177
89,2023-09-17,59.211888995184836,48.91674487650092,69.88003644394331
90,2023-09-24,58.86192542002436,48.84891161500606,69.92818644022276
91,2023-10-01,58.51196184486389,48.110876197693216,69.09321757678404
92,2023-10-08,58.16199826970342,48.37197173994791,68.53456340503328
93,2023-10-15,57.812034694542945,47.52212609209342,67.94952066877221
94,2023-10-22,57.462071119382486,47.40405473605518,67.9184100170664
95,2023-10-29,57.112107544222,45.565598979856965,67.57692505406607
96,2023-11-05,56.76214396906154,47.21591393644947,67.03010822453763
97,2023-11-12,56.41218039390105,46.49821278689997,66.82264223675813
98,2023-11-19,56.062216818740595,45.78029693609658,66.71116472807515
99,2023-11-26,55.71225324358012,45.40577873366157,65.97690744099569
100,2023-12-03,55.36228966841965,44.859736122573125,65.33773675696165
101,2023-12-10,55.012326093259176,44.95753176148991,65.22739126356872
102,2023-12-17,54.6623625180987,44.14936586842568,65.24574562185023
103,2023-12-24,54.312398942938245,43.82688392331565,64.03802530642547
104,2023-12-31,53.96243536777776,44.234392001646704,63.878373383146226
105,2024-01-07,53.6124717926173,42.88992820194627,64.20544601900058
106,2024-01-14,53.26250821745682,43.036986264930334,63.31578958795145
